P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
AL20248159,Cervantes,Figueroa,Karla Ivonne,al20248159@universidad.edu.mx,karla_cervantes@gmail.com,5632173593,07/04/2025,Licenciatura en Contaduría Pública,LCP-03,4,Sí,2,Sí,Económica,Beca de colegiatura,8.0,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,Sí,22,No,Apoyo familiar,No,NA,147,No,Solo computadora,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
AL20235650,Rojas,Navarro,Mariana,mariana.rojas@universidad.edu.mx,mariana.rojas146@hotmail.com,5560530809,04/01/2025,Licenciatura en Psicología,LPS-05,6,Sí,2,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,34,No,Apoyo familiar,Sí,"Beca por mérito deportivo, $4,000",74,Sí,Solo computadora,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20236981,Arellano,Silva,Sergio,sergio.arellano@universidad.edu.mx,sergio.arellano@hotmail.com,8117946300,08/03/2025,Licenciatura en Derecho,LDE-04,6,Sí,4,No,NA,Beca de colegiatura,9.2,NA,Con padres o tutores,4,"$10,001-$15,000",Padre,Sí,29,Sí,Apoyo familiar,No,NA,1810,No,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20200534,Navarro,Vargas,Claudia,al20200534@universidad.edu.mx,claudia.navarro@gmail.com,5650320164,15/01/2025,Ingeniería Industrial,IIN-06,11,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,45,No,Apoyo familiar,No,NA,230,Sí,Solo internet,Preparatoria,Primaria,Sí,Sí,No,Sí,Sí
AL20237660,García,Rangel,Fernando,fernando.garcia@universidad.edu.mx,fernandogarcia@gmail.com,6174094730,24/02/2025,Licenciatura en Mercadotecnia,LMK-07,6,No,NA,Sí,Personal/Familiar,Beca de colegiatura,7.6,NA,Con padres o tutores,2,"$10,001-$15,000",Madre,Sí,36,No,Trabajo propio,Sí,"Beca municipal, $1,000",1392,No,Solo internet,Licenciatura,Licenciatura,No,Sí,Sí,Sí,Sí
AL20233705,Martínez,Vargas,Gabriel,al20233705@universidad.edu.mx,gabriel.martinez@gmail.com,4416337047,12/03/2025,Licenciatura en Mercadotecnia,LMK-07,8,Sí,2,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Solo/a,8+,"$5,001-$10,000",Padre,Sí,7,No,"Apoyo familiar, Trabajo propio",Sí,"Beca municipal, $1,000",1043,No,Solo computadora,Sin estudios,Secundaria,Sí,No,Sí,Sí,Sí
AL20238129,Valencia,Cardenas,Néstor,al20238129@universidad.edu.mx,nestor_valencia@gmail.com,9937189996,09/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,7,Sí,1,Sí,Económica,Beca de transporte,NA,56320,Con padres o tutores,3,"$5,001-$10,000",Padre,Sí,25,Sí,"Apoyo familiar, Crédito educativo",No,NA,1319,No,Sí a ambos,Preparatoria,Preparatoria,Sí,No,No,Sí,Sí
AL20247170,Sánchez,Aguilar,Javier,al20247170@universidad.edu.mx,javier.sanchez794@gmail.com,5675730570,14/05/2025,Licenciatura en Psicología,LPS-05,5,Sí,2,Sí,Laboral,Beca de colegiatura,7.8,NA,Con padres o tutores,4,"Menos de $5,000",Otro familiar,Sí,16,No,Apoyo familiar,Sí,"Apoyo de fundación privada, $2,000",308,Sí,Solo internet,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
AL20251409,Martínez,Flores,Guadalupe,al20251409@universidad.edu.mx,guadalupe.martinez449@yahoo.com,5541103470,24/02/2025,Licenciatura en Administración de Empresas,LAE-02,3,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con pareja,5,"$10,001-$15,000",Madre,Sí,45,No,"Trabajo propio, Apoyo gubernamental",No,NA,59,No,Sí a ambos,Secundaria,Preparatoria,No,Sí,Sí,Sí,Sí
AL20255552,Medina,Coronado,Leticia,al20255552@universidad.edu.mx,leticia_medina@gmail.com,3385519220,21/05/2025,Licenciatura en Diseño Gráfico,LDG-08,3,No,NA,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con pareja,4,"$10,001-$15,000",Padre,Sí,8,No,"Trabajo propio, Apoyo gubernamental",No,NA,867,No,Sí a ambos,Primaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20242594,Castro,Salazar,Juan Pablo,juan.castro@universidad.edu.mx,juan_castro@hotmail.com,2286225737,09/04/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"$10,001-$15,000",Madre,Sí,30,Sí,Apoyo familiar,Sí,"Apoyo de fundación privada, $3,500",1093,No,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20250044,Lara,Reyes,Axel,al20250044@universidad.edu.mx,axel410@gmail.com,6123387178,26/06/2025,Licenciatura en Contaduría Pública,LCP-03,2,No,NA,Sí,Económica,Beca de transporte,NA,09830,Con padres o tutores,4,"$5,001-$10,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,1060,No,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,No
AL20220413,Ramírez,Balderas,Alberto,alberto.ramirez@universidad.edu.mx,ramirez.al@gmail.com,4454737131,08/06/2025,Licenciatura en Contaduría Pública,LCP-03,9,Sí,2,Sí,Económica,Beca de transporte,NA,44770,Con padres o tutores,3,"Menos de $5,000",Beca o apoyo gubernamental,Sí,23,Sí,"Apoyo familiar, Trabajo propio",No,NA,1540,No,Solo internet,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
AL20225451,Ramos,Sánchez,Nayeli,al20225451@universidad.edu.mx,nayeli.ramos@gmail.com,4445868222,14/05/2025,Ingeniería en Mecatrónica,IMC-09,6,No,NA,No,NA,Beca de transporte,NA,07040,Con padres o tutores,5,"$5,001-$10,000",Otro familiar,Sí,14,Sí,Apoyo gubernamental,Sí,"Beca eclesiástica, $1,000",877,No,Solo internet,Primaria,Primaria,No,No,Sí,Sí,No
AL20247300,Rojas,Díaz,Claudia,al20247300@universidad.edu.mx,claudia.rojas@gmail.com,8196948943,01/04/2025,Licenciatura en Derecho,LDE-04,3,No,NA,Sí,Económica,Beca de transporte,NA,53000,En residencia estudiantil,7,"$10,001-$15,000",Madre,Sí,4,No,"Apoyo familiar, Ahorro",No,NA,1559,Sí,Solo internet,Sin estudios,Primaria,Sí,Sí,Sí,Sí,No
AL20246877,Cedillo,Ríos,Héctor,hector.cedillo@universidad.edu.mx,hector248@gmail.com,5678773589,10/02/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,No,NA,Beca de colegiatura,9.2,NA,Con padres o tutores,4,"Menos de $5,000",El propio estudiante,Sí,30,Sí,"Apoyo familiar, Trabajo propio",No,NA,1263,Sí,Ninguno,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20258902,Cortés,Estrada,Ramón,al20258902@universidad.edu.mx,ramon141@gmail.com,5564653989,13/03/2025,Licenciatura en Derecho,LDE-04,1,No,NA,Sí,Personal/Familiar,Beca de colegiatura,7.7,NA,Solo/a,5,"$10,001-$15,000",Madre,No,NA,NA,Trabajo propio,No,NA,143,No,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
AL20248687,Villarreal,Cedillo,Marco Antonio,al20248687@universidad.edu.mx,marco_villarreal@gmail.com,2257780564,04/02/2025,Licenciatura en Derecho,LDE-04,4,Sí,1,Sí,Personal/Familiar,Beca de colegiatura,7.1,NA,Con padres o tutores,4,"$5,001-$10,000",Otro familiar,Sí,20,No,"Apoyo familiar, Beca de otra institución",No,NA,1104,No,Sí a ambos,Primaria,Posgrado,No,Sí,Sí,Sí,Sí
AL20256531,Coronado,Suárez,Mariana,mariana.coronado@universidad.edu.mx,mariana.coronado@hotmail.com,5519241110,28/05/2025,Ingeniería en Mecatrónica,IMC-09,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Ahorro",No,NA,1428,Sí,Solo internet,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20236689,Molina,Vázquez,Javier,javier.molina@universidad.edu.mx,javier_molina@gmail.com,3392401486,19/01/2025,Licenciatura en Mercadotecnia,LMK-07,8,Sí,2,No,NA,Beca de colegiatura,9.5,NA,Solo/a,5,"$5,001-$10,000",Madre,Sí,17,Sí,"Apoyo familiar, Crédito educativo",No,NA,824,Sí,Solo computadora,Preparatoria,Posgrado,No,Sí,Sí,Sí,Sí
AL20242226,Zavala,Molina,Mateo,mateo.zavala@universidad.edu.mx,mateo_zavala@hotmail.com,5511234128,06/05/2025,Ingeniería en Mecatrónica,IMC-09,5,Sí,1,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,14,No,Apoyo gubernamental,Sí,"Beca municipal, $1,200",1127,Sí,Solo internet,Preparatoria,Secundaria,Sí,No,Sí,No,Sí
AL20240711,Guerrero,Espinoza,Ramón,ramon.guerrero@universidad.edu.mx,ramon.guerrero931@outlook.com,5526664750,02/05/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$10,001-$15,000",Tutor,Sí,17,Sí,"Apoyo familiar, Beca de otra institución",No,NA,1963,No,Sí a ambos,Sin estudios,Secundaria,Sí,No,Sí,Sí,Sí
AL20231808,Alvarado,Pacheco,Ana,ana.alvarado@universidad.edu.mx,anaalvarado@gmail.com,5658465493,06/06/2025,Licenciatura en Psicología,LPS-05,7,No,NA,Sí,Laboral,Beca de colegiatura,7.4,NA,Con padres o tutores,5,"$10,001-$15,000",Tutor,Sí,38,Sí,"Apoyo familiar, Trabajo propio",No,NA,178,No,Solo internet,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20250413,Rojas,Velázquez,Juan Diego,juan.rojas@universidad.edu.mx,juan.rojas691@gmail.com,3333649727,09/02/2025,Licenciatura en Diseño Gráfico,LDG-08,2,No,NA,No,NA,Beca de colegiatura,7.7,NA,Con otros familiares,6,"$5,001-$10,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo familiar,No,NA,1257,Sí,Sí a ambos,Sin estudios,Preparatoria,No,No,Sí,Sí,Sí
AL20229749,Espinoza,Barrera,Leonardo,leonardo.espinoza@universidad.edu.mx,leonardo109@gmail.com,2224558203,08/05/2025,Licenciatura en Enfermería,LEN-10,7,No,NA,Sí,Económica,Beca de colegiatura,7.0,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,Sí,17,No,"Apoyo familiar, Trabajo propio",Sí,"Beca sindical, $1,800",517,No,Solo internet,Preparatoria,Secundaria,No,Sí,Sí,Sí,Sí
AL20245242,Castro,Rangel,Laura,laura.castro@universidad.edu.mx,laura559@gmail.com,4487465585,30/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,2,Sí,1,Sí,Personal/Familiar,Beca de colegiatura,8.4,NA,Con padres o tutores,6,"$5,001-$10,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,778,Sí,Solo internet,Secundaria,Primaria,Sí,No,Sí,Sí,No
AL20238046,Coronado,García,Ana Karen,al20238046@universidad.edu.mx,ana614@hotmail.com,3363048245,28/05/2025,Licenciatura en Derecho,LDE-04,8,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,3,"Menos de $5,000",Madre,Sí,14,Sí,Apoyo gubernamental,No,NA,521,No,Solo internet,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20238517,Mejía,Castro,Raquel,al20238517@universidad.edu.mx,raquel.mejia@gmail.com,5614453003,28/05/2025,Licenciatura en Derecho,LDE-04,6,No,NA,No,NA,Beca de transporte,NA,16030,Con padres o tutores,4,"$15,001-$25,000",Otro familiar,Sí,4,No,"Apoyo familiar, Trabajo propio",No,NA,1461,No,Sí a ambos,Secundaria,Posgrado,No,Sí,Sí,Sí,Sí
AL20251181,Trejo,Zavala,Sofía,sofia.trejo@universidad.edu.mx,sofia785@hotmail.com,9935260796,13/02/2025,Ingeniería Industrial,IIN-06,1,No,NA,No,NA,Beca de transporte,NA,55090,Con padres o tutores,4,"$10,001-$15,000",Padre,Sí,4,No,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,1513,Sí,Solo internet,Primaria,Sin estudios,Sí,No,Sí,Sí,Sí
AL20234477,Herrera,Jiménez,Javier,javier.herrera@universidad.edu.mx,javier.herrera@gmail.com,5581453919,26/01/2025,Licenciatura en Administración de Empresas,LAE-02,7,No,NA,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$10,001-$15,000",Madre,No,NA,NA,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,436,No,Sí a ambos,Primaria,Sin estudios,No,Sí,Sí,Sí,Sí
AL20245556,Alvarado,Muñoz,Silvia,silvia.alvarado@universidad.edu.mx,silvia.alvarado@hotmail.com,4418134927,01/02/2025,Licenciatura en Derecho,LDE-04,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Padre,Sí,30,No,"Apoyo familiar, Beca de otra institución",No,NA,466,Sí,Sí a ambos,Licenciatura,Licenciatura,No,Sí,Sí,Sí,Sí
AL20252474,Medina,Rivera,María Fernanda,al20252474@universidad.edu.mx,maria.medina371@gmail.com,9952073387,04/05/2025,Licenciatura en Derecho,LDE-04,2,No,NA,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con pareja,5,"$5,001-$10,000",Madre,Sí,19,No,"Apoyo familiar, Trabajo propio",No,NA,718,Sí,Solo internet,Preparatoria,Preparatoria,No,No,Sí,Sí,Sí
AL20235992,Vázquez,Villanueva,César,cesar.vazquez@universidad.edu.mx,cesvaz@gmail.com,3355780883,17/03/2025,Licenciatura en Mercadotecnia,LMK-07,6,No,NA,No,NA,Beca de transporte,NA,55090,Solo/a,5,"$5,001-$10,000",El propio estudiante,Sí,25,No,Trabajo propio,No,NA,1729,No,Sí a ambos,Preparatoria,Sin estudios,No,Sí,Sí,Sí,Sí
AL20231566,Rangel,Solís,Jessica Alejandra,al20231566@universidad.edu.mx,jessica.rangel@gmail.com,3381265524,22/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$10,001-$15,000",Madre,Sí,16,No,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de gobierno estatal, $2,000",432,Sí,Sí a ambos,Primaria,Primaria,No,Sí,Sí,Sí,Sí
AL20232032,Rodríguez,Coronado,Silvia,silvia.rodriguez@universidad.edu.mx,silvia.rodriguez@gmail.com,5589943779,23/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,129,Sí,Solo internet,Primaria,Primaria,Sí,Sí,Sí,Sí,No
AL20253903,Cabrera,León,Diana Paola,al20253903@universidad.edu.mx,diana772@gmail.com,5585009503,13/03/2025,Ingeniería en Mecatrónica,IMC-09,1,No,NA,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,5,"$5,001-$10,000",Madre,Sí,14,No,Trabajo propio,No,NA,0,No,Solo internet,Secundaria,Primaria,No,No,Sí,Sí,Sí
AL20248877,López,Gutiérrez,Luis Ángel,al20248877@universidad.edu.mx,luis.lopez@gmail.com,5542683771,21/05/2025,Licenciatura en Administración de Empresas,LAE-02,5,No,NA,No,NA,Beca de colegiatura,9.1,NA,Con otros familiares,3,"$10,001-$15,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,1466,No,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20231840,Cisneros,Mata,Juan Diego,juan.cisneros@universidad.edu.mx,juan732@outlook.com,5585751790,22/06/2025,Licenciatura en Mercadotecnia,LMK-07,5,No,NA,No,NA,Beca de colegiatura,7.2,NA,Con padres o tutores,3,"Más de $25,000",Padre,Sí,8,No,Trabajo propio,No,NA,1636,No,Sí a ambos,Sin estudios,Secundaria,Sí,No,Sí,Sí,Sí
AL20249259,Contreras,Rosales,Kevin,kevin.contreras@universidad.edu.mx,kevin.contreras@outlook.com,5555121537,07/05/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,3,"$15,001-$25,000",Otro familiar,Sí,25,No,Apoyo familiar,No,NA,1242,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20259705,Torres,Acosta,Andrés,andres.torres@universidad.edu.mx,andr960@gmail.com,5561757308,12/04/2025,Licenciatura en Contaduría Pública,LCP-03,3,No,NA,No,NA,Beca de colegiatura,7.0,NA,Solo/a,2,"Menos de $5,000",Madre,No,NA,NA,Trabajo propio,No,NA,0,No,Solo internet,Primaria,Licenciatura,No,Sí,Sí,Sí,No
AL20245446,Flores,Mejía,Hugo,al20245446@universidad.edu.mx,hugo_flores@gmail.com,5525278918,02/05/2025,Ingeniería Industrial,IIN-06,5,No,NA,Sí,Económica,Beca de colegiatura,8.9,NA,Con padres o tutores,5,"$5,001-$10,000",Otro familiar,No,NA,NA,Trabajo propio,Sí,"Beca deportiva institucional, $3,000",691,Sí,Sí a ambos,Posgrado,Preparatoria,No,Sí,Sí,Sí,No
AL20239407,Silva,Álvarez,Jessica,jessica.silva@universidad.edu.mx,jessicasilva@outlook.com,5539609883,03/02/2025,Ingeniería en Mecatrónica,IMC-09,7,No,NA,Sí,Económica,Beca de colegiatura,7.5,NA,Con otros familiares,3,"Menos de $5,000",Madre,Sí,12,No,Trabajo propio,No,NA,1525,Sí,Ninguno,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20243310,Barrera,Moreno,Dulce María,al20243310@universidad.edu.mx,dulce.barrera@gmail.com,5550774555,14/02/2025,Ingeniería en Mecatrónica,IMC-09,4,No,NA,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",El propio estudiante,Sí,28,No,Apoyo gubernamental,No,NA,376,No,Sí a ambos,Posgrado,Preparatoria,No,No,Sí,Sí,Sí
AL20231258,Ríos,Balderas,Alan,alan.rios@universidad.edu.mx,alan173@yahoo.com,3381557112,07/05/2025,Licenciatura en Contaduría Pública,LCP-03,7,Sí,1,No,NA,Beca de colegiatura,8.4,NA,Con padres o tutores,4,"$5,001-$10,000",Beca o apoyo gubernamental,Sí,10,No,"Apoyo familiar, Trabajo propio",No,NA,1783,Sí,Solo internet,Secundaria,Licenciatura,No,Sí,Sí,Sí,No
AL20246730,Estrada,Ramírez,Araceli,al20246730@universidad.edu.mx,araceli943@gmail.com,6131622828,17/06/2025,Licenciatura en Psicología,LPS-05,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,3,"$5,001-$10,000",El propio estudiante,Sí,41,Sí,"Trabajo propio, Ahorro",No,NA,32,No,Solo internet,Secundaria,Secundaria,No,No,Sí,Sí,Sí
AL20239610,Molina,Vázquez,Rocío,al20239610@universidad.edu.mx,rocio.molina@gmail.com,5523262822,19/04/2025,Licenciatura en Contaduría Pública,LCP-03,8,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Solo/a,6,"$5,001-$10,000",Padre,Sí,22,Sí,"Apoyo familiar, Beca de otra institución",Sí,"Beca Benito Juárez, $2,575",77,No,Solo computadora,Secundaria,Primaria,Sí,No,Sí,Sí,No
AL20248887,Navarro,Montes,Felipe,al20248887@universidad.edu.mx,felipe_navarro@gmail.com,3386276587,05/02/2025,Licenciatura en Administración de Empresas,LAE-02,5,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,2,"$15,001-$25,000",El propio estudiante,Sí,33,No,"Apoyo familiar, Trabajo propio",No,NA,1778,No,Sí a ambos,Preparatoria,Secundaria,No,No,Sí,Sí,Sí
AL20224138,Morales,González,Santiago,santiago.morales@universidad.edu.mx,santiago_morales@hotmail.com,8176529997,03/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,10,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,3,"$5,001-$10,000",Padre,Sí,33,Sí,"Apoyo familiar, Trabajo propio",No,NA,301,No,Solo internet,Preparatoria,Preparatoria,No,Sí,Sí,Sí,Sí
AL20251470,Ortiz,Muñoz,Leonardo,al20251470@universidad.edu.mx,leonardo.ortiz@gmail.com,3347358795,27/01/2025,Licenciatura en Contaduría Pública,LCP-03,3,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,Trabajo propio,No,NA,917,Sí,Solo computadora,Preparatoria,Secundaria,No,Sí,Sí,Sí,No
AL20231073,Zavala,Coronado,Juan Carlos,al20231073@universidad.edu.mx,juan.zavala52@gmail.com,5645884804,16/05/2025,Licenciatura en Contaduría Pública,LCP-03,8,No,NA,No,NA,Beca de colegiatura,7.8,NA,Con padres o tutores,7,"$5,001-$10,000",El propio estudiante,Sí,31,No,Crédito educativo,No,NA,809,No,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,No
AL20230209,Serrano,Lara,Alicia,al20230209@universidad.edu.mx,aliciaserrano@gmail.com,5535251518,11/06/2025,Licenciatura en Administración de Empresas,LAE-02,8,No,NA,No,NA,Beca de colegiatura,8.5,NA,Con padres o tutores,4,"Menos de $5,000",Padre,No,NA,NA,Apoyo familiar,No,NA,1661,Sí,Solo internet,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
AL20236874,Orozco,Castillo,Rodrigo,rodrigo.orozco@universidad.edu.mx,rodrigo.orozco@gmail.com,9941887393,30/03/2025,Licenciatura en Mercadotecnia,LMK-07,6,Sí,2,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,En residencia estudiantil,5,"Menos de $5,000",Padre,Sí,27,Sí,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de fundación privada, $3,500",45,Sí,Ninguno,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
AL20244015,Estrada,Coronado,Rosa,rosa.estrada@universidad.edu.mx,rosa_estrada@gmail.com,5659897314,14/01/2025,Licenciatura en Derecho,LDE-04,5,No,NA,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"$5,001-$10,000",Padre,Sí,27,No,"Apoyo familiar, Trabajo propio",Sí,"Beca deportiva institucional, $2,500",596,Sí,Solo internet,Preparatoria,Preparatoria,No,Sí,Sí,Sí,No
AL20238526,Martínez,González,Norma,norma.martinez@universidad.edu.mx,norma.martinez@gmail.com,8190408371,20/03/2025,Licenciatura en Psicología,LPS-05,7,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"$5,001-$10,000",Madre,Sí,44,Sí,"Apoyo familiar, Trabajo propio",No,NA,731,No,Sí a ambos,Posgrado,Secundaria,No,Sí,Sí,Sí,Sí
AL20254717,Sandoval,Cedillo,Nayeli,al20254717@universidad.edu.mx,nayeli.sandoval@gmail.com,6162283425,12/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,No,NA,Sí,Económica,Beca de transporte,NA,54130,Solo/a,5,"Menos de $5,000",Padre,Sí,10,No,Apoyo familiar,Sí,"Beca deportiva institucional, $2,500",1429,No,Ninguno,Preparatoria,Sin estudios,Sí,No,Sí,Sí,Sí
AL20234255,Martínez,Espinoza,Daniel,daniel.martinez@universidad.edu.mx,daniel369@gmail.com,6132552235,27/03/2025,Ingeniería Industrial,IIN-06,6,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"Menos de $5,000",Padre,Sí,29,No,"Apoyo familiar, Trabajo propio",No,NA,579,Sí,Solo internet,Preparatoria,Posgrado,No,Sí,Sí,Sí,Sí
AL20249180,Suárez,Romero,Renata,renata.suarez@universidad.edu.mx,renata_suarez@gmail.com,6179747953,25/06/2025,Licenciatura en Administración de Empresas,LAE-02,3,Sí,2,Sí,Laboral,Beca de colegiatura,8.5,NA,Solo/a,6,"$5,001-$10,000",Madre,Sí,22,No,"Apoyo familiar, Trabajo propio",Sí,"Jóvenes Escribiendo el Futuro, $2,575",0,No,Ninguno,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20252202,Estrada,Hernández,Diego,diego.estrada@universidad.edu.mx,diego.estrada922@gmail.com,8124037934,10/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,Sí,1,No,NA,Beca de colegiatura,7.8,NA,Con padres o tutores,3,"$15,001-$25,000",Beca o apoyo gubernamental,Sí,16,No,Trabajo propio,No,NA,1387,No,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20233598,Barrera,Mendoza,Leticia,al20233598@universidad.edu.mx,letbar@gmail.com,5656073918,31/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,7,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,1,"$15,001-$25,000",Otro familiar,Sí,13,No,Trabajo propio,Sí,"Beca SEP, $1,800",456,No,Sí a ambos,Preparatoria,Preparatoria,No,Sí,Sí,Sí,Sí
AL20254049,Serrano,Rodríguez,Carmen,al20254049@universidad.edu.mx,carmen_serrano@yahoo.com,5530069957,12/03/2025,Licenciatura en Derecho,LDE-04,2,Sí,1,No,NA,Beca de colegiatura,7.7,NA,En residencia estudiantil,4,"Menos de $5,000",Padre,Sí,4,No,"Apoyo familiar, Ahorro",No,NA,1040,No,Sí a ambos,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
AL20237196,Sánchez,Rosales,Víctor,al20237196@universidad.edu.mx,victor_sanchez@hotmail.com,5534433285,10/06/2025,Licenciatura en Administración de Empresas,LAE-02,6,No,NA,Sí,Económica,Beca de colegiatura,8.4,NA,Con padres o tutores,8+,"$5,001-$10,000",Tutor,No,NA,NA,Apoyo familiar,No,NA,837,No,Solo internet,Secundaria,Sin estudios,Sí,No,Sí,Sí,No
AL20241999,Torres,Campos,Itzel,al20241999@universidad.edu.mx,itzel.torres485@hotmail.com,4493516299,21/04/2025,Licenciatura en Derecho,LDE-04,1,Sí,2,Sí,Personal/Familiar,Beca de colegiatura,8.4,NA,Solo/a,2,"Menos de $5,000",Padre,No,NA,NA,"Apoyo familiar, Apoyo gubernamental",Sí,"Beca municipal, $1,200",1104,Sí,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
AL20249433,Palacios,Moreno,Rosa,rosa.palacios@universidad.edu.mx,rosapalacios@gmail.com,3316174706,11/06/2025,Licenciatura en Derecho,LDE-04,4,Sí,1,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",Madre,Sí,16,No,"Apoyo familiar, Apoyo gubernamental",No,NA,1603,No,Solo computadora,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
